stride,iteracion,tiempo_segundos
1,1,0.071383
1,2,0.071783
1,3,0.072307
1,4,0.072066
1,5,0.072140
1,6,0.072228
1,7,0.072005
1,8,0.072089
1,9,0.072275
1,10,0.072079
1,11,0.072062
1,12,0.072008
1,13,0.072126
1,14,0.071365
1,15,0.071630
16,1,0.067828
16,2,0.067168
16,3,0.067002
16,4,0.066850
16,5,0.066988
16,6,0.067263
16,7,0.067434
16,8,0.066887
16,9,0.066847
16,10,0.067472
16,11,0.066873
16,12,0.068405
16,13,0.069042
16,14,0.069595
16,15,0.067499
64,1,0.158488
64,2,0.154731
64,3,0.154993
64,4,0.157675
64,5,0.156482
64,6,0.160020
64,7,0.159430
64,8,0.180526
64,9,0.161472
64,10,0.155124
64,11,0.158026
64,12,0.163413
64,13,0.158038
64,14,0.155710
64,15,0.154952
128,1,0.565218
128,2,0.571182
128,3,0.567496
128,4,0.562251
128,5,0.568132
128,6,0.563833
128,7,0.564978
128,8,0.560659
128,9,0.555652
128,10,0.579171
128,11,0.617164
128,12,0.608925
128,13,0.594360
128,14,0.596911
128,15,0.586899
256,1,0.598897
256,2,0.591998
256,3,0.571048
256,4,0.578317
256,5,0.587779
256,6,0.574669
256,7,0.573483
256,8,0.568095
256,9,0.580219
256,10,0.571772
256,11,0.573318
256,12,0.585454
256,13,0.574278
256,14,0.603724
256,15,0.583121
512,1,0.559376
512,2,0.569752
512,3,0.564922
512,4,0.573415
512,5,0.560293
512,6,0.561045
512,7,0.560843
512,8,0.575611
512,9,0.588333
512,10,0.654125
512,11,0.581328
512,12,0.576942
512,13,0.558967
512,14,0.565643
512,15,0.562925
1024,1,0.488981
1024,2,0.489810
1024,3,0.560774
1024,4,0.479586
1024,5,0.496303
1024,6,0.479609
1024,7,0.503849
1024,8,0.515959
1024,9,0.519093
1024,10,0.541798
1024,11,0.522052
1024,12,0.507163
1024,13,0.490293
1024,14,0.498848
1024,15,0.523357
4096,1,0.621243
4096,2,0.626584
4096,3,0.619897
4096,4,0.625734
4096,5,0.627651
4096,6,0.652515
4096,7,0.625615
4096,8,0.626299
4096,9,0.620946
4096,10,0.618849
4096,11,0.607150
4096,12,0.564273
4096,13,0.565360
4096,14,0.565468
4096,15,0.569444
