size,variant,tiempo_segundos,mflops
256,ijk,0.016932,1981.72
256,jik,0.017010,1972.61
256,ikj,0.001235,27169.40
256,kij,0.001571,21359.46
256,jki,0.054014,621.22
256,kji,0.052170,643.17
260,ijk,0.017023,2064.99
260,jik,0.017294,2032.62
260,ikj,0.001314,26753.43
260,kij,0.001625,21631.19
260,jki,0.006540,5375.07
260,kji,0.010943,3212.23
512,ijk,0.146801,1828.57
512,jik,0.146861,1827.82
512,ikj,0.009523,28187.67
512,kij,0.011973,22419.80
512,jki,0.494382,542.97
512,kji,0.500194,536.66
550,ijk,0.177018,1879.75
550,jik,0.180379,1844.73
550,ikj,0.014268,23321.55
550,kij,0.015562,21382.46
550,jki,0.059404,5601.46
550,kji,0.100790,3301.42
1024,ijk,1.252841,1714.09
1024,jik,1.323981,1621.99
1024,ikj,0.075842,28315.18
1024,kij,0.099456,21592.33
1024,jki,5.206721,412.44
1024,kji,5.198264,413.12
1050,ijk,1.278403,1811.05
1050,jik,1.305120,1773.97
1050,ikj,0.098754,23444.58
1050,kij,0.114046,20301.04
1050,jki,0.941134,2460.06
1050,kji,0.936222,2472.97
